[11:32] Temp: 31.4°C, Humidity: 82.0%, Pressure: 977 hPa
[17:43] Temp: 31.4°C, Humidity: 82.0%, Pressure: 976 hPa
[17:44] Temp: 31.4°C, Humidity: 83.0%, Pressure: 976 hPa
[17:45] Temp: 31.4°C, Humidity: 83.0%, Pressure: 976 hPa
[17:46] Temp: 31.3°C, Humidity: 83.0%, Pressure: 976 hPa
[17:47] Temp: 31.4°C, Humidity: 83.0%, Pressure: 976 hPa
[17:49] Temp: 31.4°C, Humidity: 83.0%, Pressure: 976 hPa
[17:50] Temp: 31.4°C, Humidity: 83.0%, Pressure: 976 hPa
[17:51] Temp: 31.5°C, Humidity: 82.0%, Pressure: 976 hPa
[17:52] Temp: 31.5°C, Humidity: 82.0%, Pressure: 976 hPa
[17:53] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:54] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:55] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:56] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:57] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:58] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[17:59] Temp: 31.6°C, Humidity: 81.0%, Pressure: 976 hPa
[18:00] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:01] Temp: 31.7°C, Humidity: 82.0%, Pressure: 976 hPa
[18:02] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:03] Temp: 31.6°C, Humidity: 81.0%, Pressure: 976 hPa
[18:04] Temp: 31.6°C, Humidity: 81.0%, Pressure: 976 hPa
[18:05] Temp: 31.6°C, Humidity: 81.0%, Pressure: 976 hPa
[18:06] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:07] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:08] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:09] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:10] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:11] Temp: 31.6°C, Humidity: 81.0%, Pressure: 976 hPa
[18:12] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:13] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:14] Temp: 31.6°C, Humidity: 83.0%, Pressure: 976 hPa
[18:15] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:16] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:17] Temp: 31.6°C, Humidity: 83.0%, Pressure: 976 hPa
[18:18] Temp: 31.6°C, Humidity: 83.0%, Pressure: 976 hPa
[18:19] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:21] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:22] Temp: 31.6°C, Humidity: 82.0%, Pressure: 976 hPa
[18:24] Temp: 31.7°C, Humidity: 82.0%, Pressure: 976 hPa
[18:25] Temp: 31.7°C, Humidity: 82.0%, Pressure: 976 hPa
[18:26] Temp: 31.7°C, Humidity: 82.0%, Pressure: 976 hPa
[18:27] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:28] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:29] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:30] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:31] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:32] Temp: 31.7°C, Humidity: 81.0%, Pressure: 976 hPa
[18:36] Temp: 31.8°C, Humidity: 80.0%, Pressure: 976 hPa
[18:37] Temp: 31.8°C, Humidity: 80.0%, Pressure: 976 hPa
[18:39] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[18:41] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[18:43] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:44] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:45] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:46] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:48] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:49] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:50] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:51] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:52] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:53] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:54] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:55] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:56] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:57] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[18:58] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[19:00] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[19:01] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[19:02] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[19:03] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[19:04] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:05] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:06] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:07] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:08] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:11] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:12] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:13] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:14] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:15] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:16] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:18] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:21] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[19:22] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:23] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[19:24] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:25] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[19:26] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:27] Temp: 32.1°C, Humidity: 79.0%, Pressure: 977 hPa
[19:28] Temp: 32.1°C, Humidity: 79.0%, Pressure: 977 hPa
[19:29] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:30] Temp: 32.1°C, Humidity: 79.0%, Pressure: 977 hPa
[19:31] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:32] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:33] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:34] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:35] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:36] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:37] Temp: 32.0°C, Humidity: 80.0%, Pressure: 977 hPa
[19:38] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:39] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:40] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:41] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:42] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:43] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:44] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:45] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:46] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:47] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:48] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:49] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:50] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:51] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:52] Temp: 32.0°C, Humidity: 79.0%, Pressure: 977 hPa
[19:53] Temp: 32.0°C, Humidity: 80.0%, Pressure: 977 hPa
[19:54] Temp: 32.0°C, Humidity: 80.0%, Pressure: 977 hPa
[19:55] Temp: 32.0°C, Humidity: 80.0%, Pressure: 977 hPa
[19:56] Temp: 32.0°C, Humidity: 80.0%, Pressure: 977 hPa
[19:57] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[19:58] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[19:59] Temp: 32.0°C, Humidity: 82.0%, Pressure: 977 hPa
[20:00] Temp: 32.0°C, Humidity: 82.0%, Pressure: 977 hPa
[20:01] Temp: 32.0°C, Humidity: 82.0%, Pressure: 977 hPa
[20:02] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:03] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:04] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:05] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:06] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:07] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:08] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:09] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:10] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:11] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:12] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:13] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:14] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:15] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:16] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:17] Temp: 31.9°C, Humidity: 81.0%, Pressure: 977 hPa
[20:18] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:19] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:20] Temp: 32.0°C, Humidity: 81.0%, Pressure: 977 hPa
[20:21] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:22] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:23] Temp: 32.0°C, Humidity: 81.0%, Pressure: 978 hPa
[20:24] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:25] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:26] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:27] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:28] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:29] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:30] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:31] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:32] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:33] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:34] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:35] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:36] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:37] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:38] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:39] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:40] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:41] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:42] Temp: 32.0°C, Humidity: 80.0%, Pressure: 978 hPa
[20:43] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[20:44] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[20:45] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:46] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:47] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:48] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:49] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:50] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:51] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:52] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:53] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:54] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:55] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:56] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:57] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:58] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[20:59] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:00] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:01] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:02] Temp: 31.8°C, Humidity: 82.0%, Pressure: 978 hPa
[21:03] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:04] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:05] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:06] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:07] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:08] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:09] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:10] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:11] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:12] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:13] Temp: 31.9°C, Humidity: 82.0%, Pressure: 978 hPa
[21:14] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:16] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:17] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:18] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:19] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:21] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:22] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:23] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:24] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:25] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:26] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:27] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:29] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[21:30] Temp: 31.8°C, Humidity: 82.0%, Pressure: 978 hPa
[21:31] Temp: 31.8°C, Humidity: 82.0%, Pressure: 978 hPa
[21:32] Temp: 31.8°C, Humidity: 82.0%, Pressure: 978 hPa
[21:33] Temp: 31.8°C, Humidity: 82.0%, Pressure: 978 hPa
[21:34] Temp: 31.7°C, Humidity: 82.0%, Pressure: 978 hPa
[21:35] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:36] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:37] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:38] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:39] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:40] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[21:41] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:42] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:43] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:44] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:45] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:46] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:47] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:48] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:49] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:50] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[21:51] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:52] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:53] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:54] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:55] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:56] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:57] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:58] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[21:59] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:00] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:02] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:03] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:04] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:05] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:06] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:07] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:08] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:09] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:10] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:11] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:12] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:13] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:14] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:15] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:16] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:17] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:18] Temp: 31.9°C, Humidity: 79.0%, Pressure: 978 hPa
[22:19] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:20] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:21] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:22] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:23] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:24] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:25] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:26] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:27] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:28] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:29] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:30] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:31] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:32] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:34] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:35] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:36] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:37] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:38] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:39] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:40] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:41] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:42] Temp: 31.9°C, Humidity: 81.0%, Pressure: 978 hPa
[22:43] Temp: 31.9°C, Humidity: 80.0%, Pressure: 978 hPa
[22:44] Temp: 31.8°C, Humidity: 80.0%, Pressure: 978 hPa
[22:45] Temp: 31.8°C, Humidity: 80.0%, Pressure: 978 hPa
[22:46] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[22:47] Temp: 31.8°C, Humidity: 80.0%, Pressure: 978 hPa
[22:48] Temp: 31.8°C, Humidity: 81.0%, Pressure: 978 hPa
[22:49] Temp: 31.7°C, Humidity: 81.0%, Pressure: 978 hPa
[22:50] Temp: 31.6°C, Humidity: 81.0%, Pressure: 978 hPa
[22:51] Temp: 31.5°C, Humidity: 82.0%, Pressure: 978 hPa
[22:52] Temp: 31.5°C, Humidity: 82.0%, Pressure: 978 hPa
[22:53] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:54] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:55] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:56] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:57] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:58] Temp: 31.4°C, Humidity: 84.0%, Pressure: 978 hPa
[22:59] Temp: 31.3°C, Humidity: 84.0%, Pressure: 978 hPa
[23:00] Temp: 31.3°C, Humidity: 84.0%, Pressure: 978 hPa
[23:01] Temp: 31.3°C, Humidity: 84.0%, Pressure: 978 hPa
[23:02] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:03] Temp: 31.3°C, Humidity: 84.0%, Pressure: 978 hPa
[23:05] Temp: 31.3°C, Humidity: 84.0%, Pressure: 978 hPa
[23:06] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:07] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:08] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:09] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:10] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:11] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:12] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:13] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:14] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:15] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:16] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:17] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:18] Temp: 31.2°C, Humidity: 84.0%, Pressure: 978 hPa
[23:26] Temp: 31.1°C, Humidity: 84.0%, Pressure: 978 hPa
[23:27] Temp: 31.0°C, Humidity: 84.0%, Pressure: 978 hPa
[23:28] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:29] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:30] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:31] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:32] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:33] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:34] Temp: 31.0°C, Humidity: 85.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[23:35] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:36] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:37] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:38] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:39] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:40] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:41] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:42] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:43] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:45] Temp: 30.9°C, Humidity: 85.0%, Pressure: 977 hPa [HIGH HUMIDITY 💧]
[23:46] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:47] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:48] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:49] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:50] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:51] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:52] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:53] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:54] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:55] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:56] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[23:57] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:58] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[23:59] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
